frameindex,frametime,cputime,culltime,gputime,draws,tris,
1378,11073.599609,2674.399902,2132.500000,8590.700195,2692,31040922,
1379,10963.700195,2609.600098,2123.899902,8550.099609,2718,31115610,
1380,10980.299805,2534.300049,2062.199951,8625.200195,2683,28209702,
1381,10588.400391,2474.399902,2005.800049,8293.099609,2655,30542650,
1382,10812.599609,2510.100098,2076.699951,8451.799805,2650,30510970,
1383,11136.000000,2612.199951,2108.800049,8708.900391,2656,30746383,
1384,10380.500000,2466.000000,2031.800049,8069.200195,2661,27775878,
1385,11031.400391,2619.300049,2129.500000,8591.000000,2630,27709190,
1386,10550.500000,2472.399902,1975.099976,8273.299805,2666,30768794,
1387,10715.400391,2553.899902,2086.399902,8327.599609,2611,30582346,
1388,10639.299805,2404.000000,1944.300049,8419.900391,2619,30285818,
1389,10672.400391,2576.000000,2109.899902,8264.099609,2602,29977488,
1390,10705.000000,2563.600098,2088.399902,8302.400391,2611,29975120,
1391,11008.700195,2654.899902,2177.399902,8538.000000,2607,30173434,
1392,11003.599609,2653.600098,2131.500000,8538.700195,2632,30208698,
1393,10808.500000,2617.399902,2151.399902,8362.700195,2620,30327802,
1394,10776.599609,2509.800049,2043.300049,8441.700195,2642,30724388,
1395,10497.099609,2475.199951,2012.300049,8204.099609,2653,30899876,
1396,10746.000000,2468.300049,2000.300049,8456.400391,2654,30674340,
1397,10294.900391,2390.800049,1908.199951,8091.799805,2635,30683620,
1398,10657.500000,2526.500000,2038.699951,8306.900391,2646,30721508,
